R,G,B,RÓTULO,GRUPO
167,242,236,harmonico,158
151,249,212,harmonico,158
201,64,70,harmonico,159
193,70,78,harmonico,159
206,47,77,harmonico,159
108,192,4,harmonico,160
113,188,-4,harmonico,160
114,209,24,harmonico,160
69,212,190,harmonico,161
78,214,200,harmonico,161
89,220,197,harmonico,161
100,119,179,harmonico,162
109,111,188,harmonico,162
83,119,167,harmonico,162
59,76,13,harmonico,163
59,80,12,harmonico,163
60,64,20,harmonico,163
60,44,198,harmonico,164
53,42,197,harmonico,164
70,30,190,harmonico,164
94,58,61,harmonico,165
93,68,55,harmonico,165
105,68,52,harmonico,165
184,139,111,harmonico,166
194,140,106,harmonico,166
194,124,95,harmonico,166
14,166,175,harmonico,167
12,165,170,harmonico,167
17,181,161,harmonico,167
142,56,244,harmonico,168
150,66,251,harmonico,168
131,44,251,harmonico,168
81,126,211,harmonico,169
83,117,203,harmonico,169
84,121,215,harmonico,169
51,88,98,harmonico,170
52,91,88,harmonico,170
48,71,96,harmonico,170
94,146,8,harmonico,171
104,138,5,harmonico,171
111,166,12,harmonico,171
84,97,122,harmonico,172
89,95,118,harmonico,172
85,100,105,harmonico,172
64,54,72,harmonico,173
61,55,75,harmonico,173
83,72,54,harmonico,173
38,7,102,harmonico,174
40,16,109,harmonico,174
37,21,85,harmonico,174
87,14,158,harmonico,175
92,12,149,harmonico,175
105,-3,172,harmonico,175
126,108,66,harmonico,176
118,104,65,harmonico,176
113,98,74,harmonico,176
149,237,186,harmonico,177
149,242,193,harmonico,177
148,221,169,harmonico,177
47,1,120,harmonico,178
47,-5,116,harmonico,178
64,-10,139,harmonico,178
113,142,230,harmonico,179
104,132,225,harmonico,179
132,157,223,harmonico,179
21,154,29,harmonico,180
22,154,19,harmonico,180
30,166,16,harmonico,180
191,38,184,harmonico,181
201,43,175,harmonico,181
198,57,173,harmonico,181
192,166,36,harmonico,182
188,160,35,harmonico,182
184,154,36,harmonico,182
239,11,40,harmonico,183
243,2,50,harmonico,183
251,16,40,harmonico,183
227,41,155,harmonico,184
229,41,163,harmonico,184
238,35,157,harmonico,184
21,181,21,harmonico,185
30,179,26,harmonico,185
8,167,4,harmonico,185
191,165,66,harmonico,186
194,165,56,harmonico,186
190,158,75,harmonico,186
169,43,130,harmonico,187
161,39,132,harmonico,187
155,51,140,harmonico,187
94,95,119,harmonico,188
89,102,112,harmonico,188
97,85,106,harmonico,188
104,79,220,harmonico,189
99,69,228,harmonico,189
85,73,230,harmonico,189
157,106,25,harmonico,190
167,96,34,harmonico,190
160,97,43,harmonico,190
53,252,220,harmonico,191
49,253,213,harmonico,191
67,255,203,harmonico,191
21,201,191,harmonico,192
12,192,182,harmonico,192
12,184,186,harmonico,192
55,139,0,harmonico,193
55,145,8,harmonico,193
60,143,8,harmonico,193
182,213,82,harmonico,194
172,207,84,harmonico,194
198,195,77,harmonico,194
79,48,100,harmonico,195
70,44,94,harmonico,195
94,34,106,harmonico,195
138,74,44,harmonico,196
128,84,37,harmonico,196
151,79,45,harmonico,196
247,213,159,harmonico,197
241,205,157,harmonico,197
241,213,152,harmonico,197
86,133,147,harmonico,198
92,133,139,harmonico,198
88,153,160,harmonico,198
95,128,142,harmonico,199
89,131,137,harmonico,199
89,126,146,harmonico,199
108,222,194,harmonico,200
118,224,191,harmonico,200
126,233,175,harmonico,200
2,73,166,harmonico,201
2,76,163,harmonico,201
0,89,146,harmonico,201
247,136,215,harmonico,202
245,129,213,harmonico,202
243,131,201,harmonico,202
236,119,152,harmonico,203
228,119,148,harmonico,203
252,102,140,harmonico,203
75,8,212,harmonico,204
83,1,202,harmonico,204
58,28,200,harmonico,204
48,97,1,harmonico,205
50,107,6,harmonico,205
43,97,3,harmonico,205
11,218,23,harmonico,206
8,210,25,harmonico,206
-4,204,40,harmonico,206
195,116,79,harmonico,207
201,121,81,harmonico,207
186,108,81,harmonico,207
175,72,29,harmonico,208
178,71,27,harmonico,208
195,69,15,harmonico,208
152,255,69,harmonico,209
150,251,70,harmonico,209
165,251,67,harmonico,209
99,255,94,harmonico,210
92,255,104,harmonico,210
88,249,77,harmonico,210
139,21,241,harmonico,211
147,31,236,harmonico,211
137,30,228,harmonico,211
126,44,22,harmonico,212
118,53,25,harmonico,212
123,32,40,harmonico,212
150,188,243,harmonico,213
155,187,242,harmonico,213
144,206,242,harmonico,213
105,154,52,harmonico,214
106,149,45,harmonico,214
104,163,69,harmonico,214
236,35,51,harmonico,215
234,25,41,harmonico,215
233,46,51,harmonico,215
193,8,69,harmonico,216
188,-1,67,harmonico,216
212,-5,78,harmonico,216
90,198,19,harmonico,217
95,198,10,harmonico,217
109,211,27,harmonico,217
99,154,158,harmonico,218
96,164,166,harmonico,218
79,159,165,harmonico,218
46,107,230,harmonico,219
40,106,228,harmonico,219
27,88,215,harmonico,219
45,118,67,harmonico,220
55,126,65,harmonico,220
48,125,47,harmonico,220
246,131,45,harmonico,221
240,133,39,harmonico,221
245,111,54,harmonico,221
167,199,95,harmonico,222
170,191,97,harmonico,222
169,190,85,harmonico,222
246,198,45,harmonico,223
247,201,46,harmonico,223
255,184,64,harmonico,223
230,159,169,harmonico,224
231,160,178,harmonico,224
236,156,155,harmonico,224
116,177,239,harmonico,225
122,185,241,harmonico,225
121,165,220,harmonico,225
243,168,66,harmonico,226
246,167,74,harmonico,226
236,176,79,harmonico,226
166,21,169,harmonico,227
168,27,171,harmonico,227
171,32,158,harmonico,227
119,206,187,harmonico,228
120,210,184,harmonico,228
123,224,200,harmonico,228
230,242,63,harmonico,229
238,233,58,harmonico,229
214,228,67,harmonico,229
14,248,72,harmonico,230
8,245,78,harmonico,230
7,250,75,harmonico,230
247,242,64,harmonico,231
249,251,57,harmonico,231
237,241,48,harmonico,231
32,32,76,harmonico,232
25,30,66,harmonico,232
48,15,57,harmonico,232
19,76,38,harmonico,233
21,77,38,harmonico,233
15,93,18,harmonico,233
191,18,68,harmonico,234
192,19,67,harmonico,234
208,2,81,harmonico,234
53,233,196,harmonico,235
61,242,190,harmonico,235
43,217,212,harmonico,235
6,9,11,harmonico,236
13,5,2,harmonico,236
23,1,-2,harmonico,236
24,61,198,harmonico,237
19,53,189,harmonico,237
10,50,178,harmonico,237
32,142,6,harmonico,238
29,133,4,harmonico,238
49,161,4,harmonico,238
130,36,148,harmonico,239
131,33,147,harmonico,239
143,16,162,harmonico,239
140,163,27,harmonico,240
142,161,30,harmonico,240
122,163,24,harmonico,240
246,51,247,harmonico,241
247,58,251,harmonico,241
231,38,241,harmonico,241
163,116,20,harmonico,242
167,123,29,harmonico,242
172,127,26,harmonico,242
171,76,60,harmonico,243
162,71,58,harmonico,243
163,69,79,harmonico,243
31,94,51,harmonico,244
29,98,42,harmonico,244
47,97,56,harmonico,244
199,95,85,harmonico,245
193,88,88,harmonico,245
207,81,89,harmonico,245
249,191,137,harmonico,246
254,193,137,harmonico,246
246,197,120,harmonico,246
205,48,124,harmonico,247
213,43,115,harmonico,247
214,53,129,harmonico,247
26,254,99,harmonico,248
33,255,92,harmonico,248
27,242,93,harmonico,248
163,216,164,harmonico,249
161,208,165,harmonico,249
150,221,172,harmonico,249
43,100,109,harmonico,250
46,110,108,harmonico,250
60,96,103,harmonico,250
152,229,167,harmonico,251
144,234,168,harmonico,251
147,215,187,harmonico,251
80,182,163,harmonico,252
87,181,171,harmonico,252
83,193,172,harmonico,252
208,69,192,harmonico,253
202,79,200,harmonico,253
216,87,200,harmonico,253
254,242,105,harmonico,254
251,252,102,harmonico,254
255,222,99,harmonico,254
119,179,134,harmonico,255
129,173,129,harmonico,255
104,176,123,harmonico,255
208,39,170,harmonico,256
199,41,161,harmonico,256
203,58,177,harmonico,256
83,26,9,harmonico,257
89,32,11,harmonico,257
96,6,21,harmonico,257
236,204,233,harmonico,258
227,206,224,harmonico,258
216,216,217,harmonico,258
35,33,255,harmonico,259
43,23,255,harmonico,259
33,23,247,harmonico,259
53,44,85,harmonico,260
47,47,95,harmonico,260
59,50,89,harmonico,260
220,206,205,harmonico,261
213,196,210,harmonico,261
201,224,209,harmonico,261
88,52,139,harmonico,262
90,53,147,harmonico,262
68,39,145,harmonico,262
170,140,32,harmonico,263
166,148,28,harmonico,263
159,137,40,harmonico,263
163,93,35,harmonico,264
156,94,27,harmonico,264
152,80,39,harmonico,264
173,139,223,harmonico,265
178,146,233,harmonico,265
186,158,240,harmonico,265
166,120,57,harmonico,266
171,117,52,harmonico,266
159,136,39,harmonico,266
144,46,135,harmonico,267
134,44,142,harmonico,267
149,53,130,harmonico,267
39,151,254,harmonico,268
31,154,255,harmonico,268
49,133,234,harmonico,268
189,54,30,harmonico,269
189,48,24,harmonico,269
202,40,35,harmonico,269
54,160,118,harmonico,270
44,168,113,harmonico,270
60,165,111,harmonico,270
249,225,115,harmonico,271
248,229,106,harmonico,271
255,211,128,harmonico,271
123,131,16,harmonico,272
133,139,20,harmonico,272
120,145,2,harmonico,272
121,70,206,harmonico,273
111,69,200,harmonico,273
130,63,210,harmonico,273
32,33,238,harmonico,274
38,33,235,harmonico,274
20,14,221,harmonico,274
101,122,77,harmonico,275
107,129,83,harmonico,275
119,131,84,harmonico,275
191,236,1,harmonico,276
191,239,4,harmonico,276
196,254,10,harmonico,276
141,19,97,harmonico,277
135,20,94,harmonico,277
145,1,103,harmonico,277
184,29,32,harmonico,278
190,21,23,harmonico,278
190,31,50,harmonico,278
9,159,1,harmonico,279
7,155,-7,harmonico,279
1,155,0,harmonico,279
27,126,181,harmonico,280
24,128,178,harmonico,280
18,120,193,harmonico,280
20,205,84,harmonico,281
23,215,77,harmonico,281
30,200,80,harmonico,281
232,84,10,harmonico,282
236,81,20,harmonico,282
240,67,14,harmonico,282
235,227,248,harmonico,283
235,235,252,harmonico,283
232,235,255,harmonico,283
65,218,249,harmonico,284
55,221,244,harmonico,284
58,214,255,harmonico,284
63,176,233,harmonico,285
67,172,234,harmonico,285
77,193,229,harmonico,285
253,92,56,harmonico,286
246,86,54,harmonico,286
238,105,36,harmonico,286
79,222,189,harmonico,287
83,225,183,harmonico,287
88,227,204,harmonico,287
187,232,66,harmonico,288
197,238,75,harmonico,288
167,226,69,harmonico,288
98,220,34,harmonico,289
104,223,37,harmonico,289
110,240,52,harmonico,289
46,129,59,harmonico,290
36,121,68,harmonico,290
50,109,72,harmonico,290
181,178,7,harmonico,291
178,186,14,harmonico,291
200,181,22,harmonico,291
6,244,79,harmonico,292
15,238,89,harmonico,292
-14,248,90,harmonico,292
20,80,135,harmonico,293
19,85,136,harmonico,293
25,87,137,harmonico,293
162,106,138,harmonico,294
153,97,144,harmonico,294
157,108,130,harmonico,294
62,143,77,harmonico,295
61,149,78,harmonico,295
47,147,92,harmonico,295
169,168,61,harmonico,296
175,164,61,harmonico,296
167,171,78,harmonico,296
206,68,178,harmonico,297
212,73,174,harmonico,297
210,65,181,harmonico,297
240,93,234,harmonico,298
241,103,224,harmonico,298
235,92,232,harmonico,298
18,95,244,harmonico,299
11,98,249,harmonico,299
15,105,227,harmonico,299
87,135,55,harmonico,300
88,126,52,harmonico,300
83,144,52,harmonico,300
65,32,2,harmonico,301
61,37,-7,harmonico,301
71,46,-3,harmonico,301
10,173,140,harmonico,302
7,173,150,harmonico,302
-2,165,123,harmonico,302
131,82,2,harmonico,303
137,87,6,harmonico,303
138,73,1,harmonico,303
116,228,3,harmonico,304
111,228,-3,harmonico,304
136,236,-7,harmonico,304
164,42,156,harmonico,305
172,33,155,harmonico,305
169,25,157,harmonico,305
29,202,103,harmonico,306
37,207,105,harmonico,306
23,195,121,harmonico,306
87,41,135,harmonico,307
86,42,141,harmonico,307
98,53,142,harmonico,307
65,8,2,harmonico,308
68,16,1,harmonico,308
51,14,2,harmonico,308
162,8,117,harmonico,309
171,7,115,harmonico,309
178,1,120,harmonico,309
114,39,44,harmonico,310
111,35,50,harmonico,310
129,56,42,harmonico,310
1,20,160,harmonico,311
8,21,159,harmonico,311
-14,16,147,harmonico,311
6,110,253,harmonico,312
9,119,255,harmonico,312
19,130,245,harmonico,312
35,227,213,harmonico,313
31,229,208,harmonico,313
48,212,232,harmonico,313
36,171,6,harmonico,314
44,173,11,harmonico,314
48,152,-3,harmonico,314
112,2,41,harmonico,315
109,3,35,harmonico,315
94,2,58,harmonico,315
58,90,144,harmonico,316
63,84,144,harmonico,316
75,91,142,harmonico,316
68,197,248,harmonico,317
60,196,241,harmonico,317
54,200,241,harmonico,317
251,88,36,harmonico,318
244,90,36,harmonico,318
245,95,18,harmonico,318
44,58,185,harmonico,319
52,55,184,harmonico,319
58,57,183,harmonico,319
223,94,246,harmonico,320
213,90,253,harmonico,320
213,76,238,harmonico,320
74,99,111,harmonico,321
76,99,107,harmonico,321
82,116,120,harmonico,321
246,150,253,harmonico,322
240,143,244,harmonico,322
241,146,236,harmonico,322
136,75,88,harmonico,323
135,77,90,harmonico,323
136,72,85,harmonico,323
15,187,135,harmonico,324
10,196,133,harmonico,324
6,206,148,harmonico,324
252,183,247,harmonico,325
255,174,237,harmonico,325
244,191,247,harmonico,325
105,97,5,harmonico,326
108,90,15,harmonico,326
93,83,5,harmonico,326
150,246,102,harmonico,327
154,236,105,harmonico,327
133,255,121,harmonico,327
114,69,20,harmonico,328
119,62,11,harmonico,328
100,61,35,harmonico,328
125,54,214,harmonico,329
127,57,217,harmonico,329
120,44,215,harmonico,329
50,33,225,harmonico,330
44,43,224,harmonico,330
64,20,221,harmonico,330
167,105,90,harmonico,331
163,108,81,harmonico,331
183,118,79,harmonico,331
135,38,84,harmonico,332
128,29,92,harmonico,332
123,37,82,harmonico,332
145,33,52,harmonico,333
149,41,56,harmonico,333
151,50,72,harmonico,333
197,203,25,harmonico,334
198,199,29,harmonico,334
199,196,16,harmonico,334
11,20,175,harmonico,335
12,22,170,harmonico,335
10,22,179,harmonico,335
105,96,204,harmonico,336
100,104,209,harmonico,336
101,107,198,harmonico,336
44,197,25,harmonico,337
52,189,30,harmonico,337
37,199,18,harmonico,337
214,220,113,harmonico,338
214,217,107,harmonico,338
230,223,121,harmonico,338
240,175,85,harmonico,339
238,174,78,harmonico,339
227,160,78,harmonico,339
171,161,143,harmonico,340
165,153,146,harmonico,340
151,162,137,harmonico,340
27,38,214,harmonico,341
29,28,215,harmonico,341
46,50,223,harmonico,341
201,89,158,harmonico,342
192,94,165,harmonico,342
193,99,170,harmonico,342
170,244,146,harmonico,343
166,240,142,harmonico,343
160,229,154,harmonico,343
239,241,195,harmonico,344
231,242,185,harmonico,344
222,238,180,harmonico,344
148,113,240,harmonico,345
151,111,231,harmonico,345
153,104,223,harmonico,345
107,131,252,harmonico,346
112,123,255,harmonico,346
104,147,233,harmonico,346
189,133,117,harmonico,347
192,135,120,harmonico,347
194,146,128,harmonico,347
115,255,86,harmonico,348
118,248,90,harmonico,348
114,243,104,harmonico,348
55,145,131,harmonico,349
56,149,133,harmonico,349
67,156,118,harmonico,349
217,34,233,harmonico,350
210,43,226,harmonico,350
204,42,249,harmonico,350
115,111,244,harmonico,351
114,113,245,harmonico,351
105,116,230,harmonico,351
155,204,121,harmonico,352
153,195,130,harmonico,352
162,195,132,harmonico,352
118,23,96,harmonico,353
126,24,88,harmonico,353
131,3,107,harmonico,353
88,0,112,harmonico,354
85,-3,104,harmonico,354
85,10,119,harmonico,354
194,239,50,harmonico,355
190,232,59,harmonico,355
192,249,68,harmonico,355
31,64,225,harmonico,356
26,65,231,harmonico,356
35,44,219,harmonico,356
132,14,144,harmonico,357
125,19,141,harmonico,357
139,0,132,harmonico,357
