R,G,B,RÓTULO,GRUPO
102,59,149,harmonico,31
106,45,33,harmonico,32
103,41,28,harmonico,32
96,30,30,harmonico,32
123,157,94,harmonico,33
118,149,91,harmonico,33
111,158,80,harmonico,33
102,69,197,harmonico,34
106,73,194,harmonico,34
82,70,216,harmonico,34
149,169,206,harmonico,35
149,160,215,harmonico,35
160,151,213,harmonico,35
108,236,52,harmonico,36
100,230,54,harmonico,36
89,232,34,harmonico,36
104,33,101,harmonico,37
108,34,98,harmonico,37
108,51,113,harmonico,37
135,196,235,harmonico,38
132,199,239,harmonico,38
148,196,243,harmonico,38
94,255,191,harmonico,39
97,249,188,harmonico,39
81,255,209,harmonico,39
240,214,230,harmonico,40
232,218,224,harmonico,40
224,220,236,harmonico,40
67,65,71,harmonico,41
57,71,71,harmonico,41
76,60,70,harmonico,41
86,175,191,harmonico,42
95,183,190,harmonico,42
84,192,183,harmonico,42
208,192,139,harmonico,43
217,199,134,harmonico,43
206,176,122,harmonico,43
4,165,84,harmonico,44
5,160,77,harmonico,44
13,147,96,harmonico,44
211,28,95,harmonico,45
205,27,101,harmonico,45
193,27,101,harmonico,45
68,103,95,harmonico,46
58,111,96,harmonico,46
84,105,114,harmonico,46
191,139,35,harmonico,47
196,130,33,harmonico,47
209,159,27,harmonico,47
189,164,161,harmonico,48
197,160,163,harmonico,48
193,183,177,harmonico,48
249,215,0,harmonico,49
245,213,-4,harmonico,49
255,222,-18,harmonico,49
75,223,39,harmonico,50
85,213,31,harmonico,50
67,224,34,harmonico,50
70,156,168,harmonico,51
74,147,177,harmonico,51
79,176,157,harmonico,51
29,105,45,harmonico,52
29,104,54,harmonico,52
31,114,29,harmonico,52
237,114,48,harmonico,53
232,107,56,harmonico,53
239,125,55,harmonico,53
45,78,7,harmonico,54
39,76,2,harmonico,54
40,61,0,harmonico,54
106,36,122,harmonico,55
111,26,126,harmonico,55
111,50,133,harmonico,55
199,102,47,harmonico,56
194,94,46,harmonico,56
194,109,36,harmonico,56
245,101,176,harmonico,57
244,97,182,harmonico,57
234,112,188,harmonico,57
207,104,204,harmonico,58
200,112,207,harmonico,58
208,109,201,harmonico,58
186,122,68,harmonico,59
187,125,70,harmonico,59
182,135,49,harmonico,59
101,236,36,harmonico,60
97,239,26,harmonico,60
104,244,48,harmonico,60
194,64,175,harmonico,61
194,71,174,harmonico,61
202,54,195,harmonico,61
14,122,40,harmonico,62
8,127,32,harmonico,62
0,132,49,harmonico,62
108,219,173,harmonico,63
102,212,181,harmonico,63
98,222,176,harmonico,63
167,182,236,harmonico,64
175,186,227,harmonico,64
150,167,245,harmonico,64
182,3,75,harmonico,65
191,11,80,harmonico,65
186,7,61,harmonico,65
192,40,130,harmonico,66
196,32,121,harmonico,66
192,56,122,harmonico,66
243,72,99,harmonico,67
241,66,97,harmonico,67
239,76,101,harmonico,67
46,162,32,harmonico,68
53,153,35,harmonico,68
38,178,38,harmonico,68
135,179,157,harmonico,69
127,184,166,harmonico,69
139,190,156,harmonico,69
145,138,236,harmonico,70
135,139,231,harmonico,70
162,157,254,harmonico,70
136,160,20,harmonico,71
136,166,12,harmonico,71
127,153,24,harmonico,71
192,151,175,harmonico,72
195,151,174,harmonico,72
201,135,183,harmonico,72
44,193,70,harmonico,73
42,187,70,harmonico,73
49,183,65,harmonico,73
7,55,211,harmonico,74
13,63,211,harmonico,74
22,65,192,harmonico,74
81,236,68,harmonico,75
87,229,71,harmonico,75
74,222,66,harmonico,75
15,56,189,harmonico,76
5,48,187,harmonico,76
14,67,173,harmonico,76
226,23,248,harmonico,77
233,20,242,harmonico,77
210,17,251,harmonico,77
65,167,2,harmonico,78
56,172,7,harmonico,78
53,173,15,harmonico,78
184,211,109,harmonico,79
180,207,105,harmonico,79
193,229,119,harmonico,79
232,141,246,harmonico,80
235,147,244,harmonico,80
241,132,227,harmonico,80
87,147,3,harmonico,81
93,140,-7,harmonico,81
103,157,16,harmonico,81
58,254,82,harmonico,82
57,255,85,harmonico,82
53,240,63,harmonico,82
87,169,139,harmonico,83
94,178,141,harmonico,83
94,185,141,harmonico,83
134,185,242,harmonico,84
143,190,236,harmonico,84
129,188,254,harmonico,84
43,231,93,harmonico,85
34,226,93,harmonico,85
31,227,102,harmonico,85
1,200,240,harmonico,86
-2,201,230,harmonico,86
20,214,244,harmonico,86
43,49,113,harmonico,87
37,43,121,harmonico,87
29,51,117,harmonico,87
71,81,110,harmonico,88
77,89,120,harmonico,88
52,67,104,harmonico,88
129,172,2,harmonico,89
136,164,-6,harmonico,89
119,186,-12,harmonico,89
116,212,56,harmonico,90
123,204,65,harmonico,90
122,214,45,harmonico,90
29,173,86,harmonico,91
23,168,78,harmonico,91
12,180,68,harmonico,91
75,11,60,harmonico,92
67,15,52,harmonico,92
64,2,50,harmonico,92
16,214,95,harmonico,93
14,214,100,harmonico,93
13,230,83,harmonico,93
169,108,146,harmonico,94
169,110,150,harmonico,94
163,106,146,harmonico,94
78,240,215,harmonico,95
88,236,218,harmonico,95
64,223,225,harmonico,95
187,107,1,harmonico,96
185,110,3,harmonico,96
206,98,-10,harmonico,96
174,189,134,harmonico,97
172,190,125,harmonico,97
178,202,145,harmonico,97
152,37,119,harmonico,98
144,34,121,harmonico,98
165,33,104,harmonico,98
233,5,153,harmonico,99
239,12,145,harmonico,99
230,4,162,harmonico,99
206,216,227,harmonico,100
216,206,233,harmonico,100
206,203,228,harmonico,100
21,77,233,harmonico,101
23,69,241,harmonico,101
3,67,236,harmonico,101
103,198,151,harmonico,102
108,199,154,harmonico,102
86,217,154,harmonico,102
8,254,106,harmonico,103
-1,248,102,harmonico,103
15,234,103,harmonico,103
110,7,124,harmonico,104
108,0,129,harmonico,104
125,16,106,harmonico,104
141,184,44,harmonico,105
136,190,44,harmonico,105
141,173,41,harmonico,105
16,19,222,harmonico,106
18,20,215,harmonico,106
8,38,209,harmonico,106
138,187,121,harmonico,107
146,197,126,harmonico,107
142,204,108,harmonico,107
51,253,62,harmonico,108
54,255,57,harmonico,108
59,239,60,harmonico,108
213,248,196,harmonico,109
209,247,197,harmonico,109
212,255,187,harmonico,109
84,214,25,harmonico,110
82,210,20,harmonico,110
74,196,20,harmonico,110
67,67,190,harmonico,111
76,67,195,harmonico,111
77,51,198,harmonico,111
177,219,231,harmonico,112
171,229,238,harmonico,112
165,203,233,harmonico,112
184,0,205,harmonico,113
175,-1,202,harmonico,113
189,0,204,harmonico,113
244,195,245,harmonico,114
246,191,254,harmonico,114
255,184,247,harmonico,114
199,95,100,harmonico,115
209,95,91,harmonico,115
188,82,89,harmonico,115
65,40,31,harmonico,116
74,42,40,harmonico,116
57,24,20,harmonico,116
195,236,157,harmonico,117
202,234,160,harmonico,117
195,217,145,harmonico,117
123,124,200,harmonico,118
129,125,199,harmonico,118
131,130,214,harmonico,118
210,192,85,harmonico,119
216,188,90,harmonico,119
193,187,84,harmonico,119
11,186,249,harmonico,120
1,184,240,harmonico,120
14,173,255,harmonico,120
232,99,89,harmonico,121
239,101,96,harmonico,121
252,88,80,harmonico,121
111,160,129,harmonico,122
118,169,131,harmonico,122
123,142,139,harmonico,122
118,145,129,harmonico,123
110,153,125,harmonico,123
133,154,114,harmonico,123
246,219,18,harmonico,124
240,216,19,harmonico,124
231,215,1,harmonico,124
175,83,93,harmonico,125
176,83,95,harmonico,125
194,87,99,harmonico,125
112,14,252,harmonico,126
102,10,248,harmonico,126
124,12,240,harmonico,126
212,85,48,harmonico,127
207,90,40,harmonico,127
193,97,47,harmonico,127
39,201,157,harmonico,128
46,196,160,harmonico,128
21,205,174,harmonico,128
79,31,18,harmonico,129
76,21,16,harmonico,129
81,40,22,harmonico,129
51,29,164,harmonico,130
50,23,158,harmonico,130
63,21,179,harmonico,130
9,132,63,harmonico,131
-1,141,63,harmonico,131
-3,129,79,harmonico,131
57,52,71,harmonico,132
63,45,78,harmonico,132
60,41,88,harmonico,132
99,2,58,harmonico,133
106,-7,58,harmonico,133
109,12,46,harmonico,133
44,119,234,harmonico,134
51,118,229,harmonico,134
39,117,239,harmonico,134
42,198,24,harmonico,135
37,191,20,harmonico,135
42,180,38,harmonico,135
219,7,187,harmonico,136
213,14,197,harmonico,136
227,-6,206,harmonico,136
229,124,82,harmonico,137
221,134,91,harmonico,137
247,139,62,harmonico,137
234,136,65,harmonico,138
232,139,71,harmonico,138
246,121,55,harmonico,138
63,225,46,harmonico,139
68,220,47,harmonico,139
45,244,31,harmonico,139
189,124,248,harmonico,140
187,116,239,harmonico,140
181,104,242,harmonico,140
5,114,133,harmonico,141
10,104,124,harmonico,141
-6,100,121,harmonico,141
72,12,119,harmonico,142
74,5,111,harmonico,142
63,6,115,harmonico,142
190,252,154,harmonico,143
195,255,148,harmonico,143
207,255,143,harmonico,143
11,215,6,harmonico,144
13,213,9,harmonico,144
25,210,21,harmonico,144
205,53,53,harmonico,145
199,44,59,harmonico,145
207,69,48,harmonico,145
61,30,74,harmonico,146
67,32,77,harmonico,146
65,37,67,harmonico,146
152,165,63,harmonico,147
142,159,59,harmonico,147
164,169,66,harmonico,147
124,40,36,harmonico,148
124,40,34,harmonico,148
120,36,39,harmonico,148
58,34,107,harmonico,149
53,44,105,harmonico,149
45,40,109,harmonico,149
62,248,167,harmonico,150
65,239,161,harmonico,150
52,247,152,harmonico,150
197,120,0,harmonico,151
200,127,-9,harmonico,151
210,132,15,harmonico,151
91,63,245,harmonico,152
90,56,253,harmonico,152
101,73,251,harmonico,152
111,140,165,harmonico,153
105,136,158,harmonico,153
109,142,149,harmonico,153
125,195,225,harmonico,154
131,204,217,harmonico,154
109,190,210,harmonico,154
7,194,58,harmonico,155
14,186,58,harmonico,155
13,178,59,harmonico,155
102,96,42,harmonico,156
111,99,35,harmonico,156
93,80,24,harmonico,156
48,49,22,harmonico,157
39,50,16,harmonico,157
58,64,39,harmonico,157
241,206,246,harmonico,158
250,211,244,harmonico,158
231,194,236,harmonico,158
192,82,135,harmonico,159
187,90,141,harmonico,159
178,77,155,harmonico,159
87,124,166,harmonico,160
81,121,170,harmonico,160
96,125,148,harmonico,160
81,35,44,harmonico,161
90,40,44,harmonico,161
86,34,38,harmonico,161
7,80,204,harmonico,162
11,89,201,harmonico,162
18,73,206,harmonico,162
120,52,57,harmonico,163
111,42,54,harmonico,163
131,33,41,harmonico,163
252,92,18,harmonico,164
255,86,19,harmonico,164
255,73,35,harmonico,164
150,242,208,harmonico,165
159,246,208,harmonico,165
166,245,214,harmonico,165
88,87,148,harmonico,166
96,95,145,harmonico,166
85,71,156,harmonico,166
98,161,44,harmonico,167
108,167,51,harmonico,167
107,154,28,harmonico,167
171,134,56,harmonico,168
178,129,49,harmonico,168
172,118,43,harmonico,168
252,199,193,harmonico,169
245,206,184,harmonico,169
252,185,174,harmonico,169
6,124,253,harmonico,170
14,127,255,harmonico,170
22,144,255,harmonico,170
6,73,17,harmonico,171
-1,77,24,harmonico,171
10,69,9,harmonico,171
113,244,204,harmonico,172
114,246,201,harmonico,172
95,250,202,harmonico,172
221,157,251,harmonico,173
223,162,246,harmonico,173
206,157,255,harmonico,173
8,195,250,harmonico,174
8,204,252,harmonico,174
4,208,249,harmonico,174
33,228,92,harmonico,175
40,234,88,harmonico,175
18,248,108,harmonico,175
12,22,8,harmonico,176
5,14,13,harmonico,176
31,4,5,harmonico,176
28,227,199,harmonico,177
31,237,192,harmonico,177
28,227,185,harmonico,177
181,176,207,harmonico,178
172,186,199,harmonico,178
187,193,203,harmonico,178
61,35,192,harmonico,179
54,28,201,harmonico,179
49,37,207,harmonico,179
76,95,231,harmonico,180
68,90,240,harmonico,180
77,81,219,harmonico,180
159,130,53,harmonico,181
161,133,58,harmonico,181
150,122,73,harmonico,181
108,114,231,harmonico,182
113,124,233,harmonico,182
91,127,223,harmonico,182
180,214,134,harmonico,183
185,219,126,harmonico,183
190,212,146,harmonico,183
53,12,47,harmonico,184
50,18,42,harmonico,184
56,29,35,harmonico,184
230,144,51,harmonico,185
222,150,44,harmonico,185
232,128,71,harmonico,185
212,141,150,harmonico,186
213,132,150,harmonico,186
222,135,158,harmonico,186
32,179,3,harmonico,187
25,169,9,harmonico,187
13,168,18,harmonico,187
83,145,128,harmonico,188
91,150,138,harmonico,188
70,146,130,harmonico,188
237,14,107,harmonico,189
234,7,97,harmonico,189
233,7,110,harmonico,189
22,35,251,harmonico,190
31,41,246,harmonico,190
14,50,232,harmonico,190
217,124,225,harmonico,191
221,118,230,harmonico,191
209,122,227,harmonico,191
53,91,124,harmonico,192
54,87,125,harmonico,192
71,73,123,harmonico,192
155,9,33,harmonico,193
164,18,42,harmonico,193
160,-2,24,harmonico,193
198,155,206,harmonico,194
192,151,199,harmonico,194
181,138,206,harmonico,194
42,62,42,harmonico,195
47,67,44,harmonico,195
58,66,48,harmonico,195
228,54,9,harmonico,196
234,63,5,harmonico,196
221,40,24,harmonico,196
231,122,63,harmonico,197
221,131,67,harmonico,197
212,126,76,harmonico,197
153,30,190,harmonico,198
153,26,189,harmonico,198
145,48,189,harmonico,198
38,71,244,harmonico,199
45,63,249,harmonico,199
53,87,255,harmonico,199
59,188,249,harmonico,200
63,179,248,harmonico,200
42,189,255,harmonico,200
59,39,83,harmonico,201
52,40,81,harmonico,201
52,29,74,harmonico,201
125,37,108,harmonico,202
118,27,116,harmonico,202
140,52,113,harmonico,202
94,115,169,harmonico,203
98,110,166,harmonico,203
82,95,156,harmonico,203
69,187,193,harmonico,204
74,179,195,harmonico,204
54,190,186,harmonico,204
30,55,234,harmonico,205
24,48,227,harmonico,205
16,47,252,harmonico,205
11,255,250,harmonico,206
11,255,252,harmonico,206
1,236,237,harmonico,206
53,220,125,harmonico,207
55,211,122,harmonico,207
49,226,109,harmonico,207
176,42,130,harmonico,208
177,48,135,harmonico,208
174,48,147,harmonico,208
9,255,240,harmonico,209
8,248,230,harmonico,209
11,252,223,harmonico,209
197,94,43,harmonico,210
190,94,52,harmonico,210
191,88,54,harmonico,210
3,227,73,harmonico,211
11,234,76,harmonico,211
-14,234,53,harmonico,211
180,191,250,harmonico,212
189,197,241,harmonico,212
171,201,240,harmonico,212
139,12,229,harmonico,213
147,19,235,harmonico,213
131,5,217,harmonico,213
49,131,177,harmonico,214
39,121,172,harmonico,214
66,121,162,harmonico,214
146,222,172,harmonico,215
138,216,168,harmonico,215
138,208,156,harmonico,215
79,99,191,harmonico,216
69,105,183,harmonico,216
79,89,171,harmonico,216
65,165,207,harmonico,217
62,171,212,harmonico,217
83,161,190,harmonico,217
159,192,41,harmonico,218
161,192,36,harmonico,218
168,181,60,harmonico,218
206,109,3,harmonico,219
199,111,-6,harmonico,219
212,128,15,harmonico,219
164,39,2,harmonico,220
159,46,9,harmonico,220
149,36,6,harmonico,220
250,43,88,harmonico,221
240,45,97,harmonico,221
255,28,98,harmonico,221
255,100,153,harmonico,222
255,105,148,harmonico,222
254,86,144,harmonico,222
227,179,28,harmonico,223
224,180,19,harmonico,223
224,186,45,harmonico,223
33,232,207,harmonico,224
40,239,207,harmonico,224
28,223,206,harmonico,224
34,0,97,harmonico,225
38,3,97,harmonico,225
15,2,80,harmonico,225
181,216,214,harmonico,226
189,215,205,harmonico,226
182,204,230,harmonico,226
49,155,212,harmonico,227
56,145,207,harmonico,227
59,151,213,harmonico,227
82,242,79,harmonico,228
88,233,76,harmonico,228
99,245,81,harmonico,228
151,23,48,harmonico,229
155,31,53,harmonico,229
140,15,36,harmonico,229
191,144,74,harmonico,230
192,137,70,harmonico,230
191,159,63,harmonico,230
149,108,166,harmonico,231
146,106,173,harmonico,231
163,112,175,harmonico,231
36,230,97,harmonico,232
37,225,107,harmonico,232
44,248,101,harmonico,232
7,59,39,harmonico,233
12,56,47,harmonico,233
-3,59,33,harmonico,233
225,219,220,harmonico,234
219,221,219,harmonico,234
211,233,209,harmonico,234
188,6,117,harmonico,235
198,8,108,harmonico,235
173,-10,109,harmonico,235
170,11,241,harmonico,236
174,2,249,harmonico,236
176,24,253,harmonico,236
77,170,247,harmonico,237
87,162,243,harmonico,237
70,162,237,harmonico,237
42,176,194,harmonico,238
50,170,190,harmonico,238
26,160,182,harmonico,238
37,148,251,harmonico,239
41,147,245,harmonico,239
31,144,251,harmonico,239
150,13,222,harmonico,240
142,3,232,harmonico,240
158,33,224,harmonico,240
65,77,128,harmonico,241
75,72,135,harmonico,241
53,87,122,harmonico,241
245,86,188,harmonico,242
239,82,196,harmonico,242
236,93,183,harmonico,242
240,27,15,harmonico,243
241,17,22,harmonico,243
255,20,2,harmonico,243
6,63,167,harmonico,244
15,53,171,harmonico,244
12,70,150,harmonico,244
198,120,118,harmonico,245
189,121,125,harmonico,245
198,125,115,harmonico,245
125,80,64,harmonico,246
128,71,64,harmonico,246
114,70,57,harmonico,246
174,12,189,harmonico,247
175,13,188,harmonico,247
154,15,187,harmonico,247
130,140,52,harmonico,248
124,134,55,harmonico,248
134,139,49,harmonico,248
226,159,131,harmonico,249
222,169,135,harmonico,249
242,159,123,harmonico,249
127,224,244,harmonico,250
118,217,245,harmonico,250
143,242,233,harmonico,250
84,77,140,harmonico,251
80,67,149,harmonico,251
83,96,135,harmonico,251
171,98,17,harmonico,252
165,99,25,harmonico,252
170,113,29,harmonico,252
158,159,84,harmonico,253
154,165,94,harmonico,253
169,148,92,harmonico,253
174,54,125,harmonico,254
177,55,132,harmonico,254
155,48,118,harmonico,254
144,135,30,harmonico,255
137,131,36,harmonico,255
152,138,44,harmonico,255
30,161,229,harmonico,256
31,153,219,harmonico,256
16,177,245,harmonico,256
221,166,11,harmonico,257
225,170,15,harmonico,257
211,161,-4,harmonico,257
228,254,29,harmonico,258
218,255,31,harmonico,258
218,255,20,harmonico,258
157,252,113,harmonico,259
157,250,103,harmonico,259
144,255,100,harmonico,259
133,32,242,harmonico,260
134,24,236,harmonico,260
146,21,242,harmonico,260
162,202,117,harmonico,261
171,211,108,harmonico,261
162,217,104,harmonico,261
210,119,152,harmonico,262
219,127,145,harmonico,262
208,132,137,harmonico,262
30,33,175,harmonico,263
21,37,183,harmonico,263
43,40,156,harmonico,263
11,244,74,harmonico,264
9,248,65,harmonico,264
-3,255,71,harmonico,264
235,251,243,harmonico,265
226,251,244,harmonico,265
216,255,255,harmonico,265
229,147,139,harmonico,266
233,146,133,harmonico,266
230,158,152,harmonico,266
224,138,165,harmonico,267
215,139,166,harmonico,267
214,152,172,harmonico,267
65,87,114,harmonico,268
64,93,108,harmonico,268
82,75,96,harmonico,268
234,247,128,harmonico,269
224,246,129,harmonico,269
232,233,129,harmonico,269
224,149,80,harmonico,270
234,141,88,harmonico,270
221,146,72,harmonico,270
176,74,83,harmonico,271
181,73,79,harmonico,271
178,79,77,harmonico,271
198,239,53,harmonico,272
199,249,53,harmonico,272
191,223,42,harmonico,272
131,8,180,harmonico,273
126,2,177,harmonico,273
144,22,190,harmonico,273
62,243,77,harmonico,274
65,238,67,harmonico,274
62,244,64,harmonico,274
6,240,65,harmonico,275
0,243,71,harmonico,275
10,247,80,harmonico,275
99,163,68,harmonico,276
92,163,78,harmonico,276
79,183,66,harmonico,276
69,124,172,harmonico,277
64,132,174,harmonico,277
70,125,191,harmonico,277
227,254,60,harmonico,278
234,252,60,harmonico,278
245,255,44,harmonico,278
57,83,139,harmonico,279
52,91,134,harmonico,279
75,88,149,harmonico,279
222,140,119,harmonico,280
222,130,116,harmonico,280
210,151,131,harmonico,280
130,172,85,harmonico,281
136,167,79,harmonico,281
127,158,73,harmonico,281
143,106,251,harmonico,282
152,109,255,harmonico,282
162,100,242,harmonico,282
95,232,149,harmonico,283
88,232,159,harmonico,283
107,238,168,harmonico,283
173,144,16,harmonico,284
179,137,13,harmonico,284
155,161,23,harmonico,284
123,117,91,harmonico,285
118,122,86,harmonico,285
134,98,87,harmonico,285
249,89,104,harmonico,286
242,79,97,harmonico,286
240,75,93,harmonico,286
239,218,148,harmonico,287
242,213,139,harmonico,287
255,198,137,harmonico,287
250,83,191,harmonico,288
242,88,184,harmonico,288
246,98,204,harmonico,288
78,247,176,harmonico,289
79,255,169,harmonico,289
81,249,193,harmonico,289
217,106,247,harmonico,290
216,99,252,harmonico,290
232,106,244,harmonico,290
176,118,112,harmonico,291
183,109,105,harmonico,291
192,103,112,harmonico,291
119,230,118,harmonico,292
128,236,120,harmonico,292
125,223,101,harmonico,292
175,251,55,harmonico,293
185,248,52,harmonico,293
191,255,54,harmonico,293
109,35,176,harmonico,294
111,27,172,harmonico,294
98,38,184,harmonico,294
52,136,249,harmonico,295
59,130,255,harmonico,295
51,118,235,harmonico,295
158,208,45,harmonico,296
162,204,50,harmonico,296
157,218,45,harmonico,296
249,88,92,harmonico,297
244,92,90,harmonico,297
246,104,72,harmonico,297
249,206,24,harmonico,298
252,202,26,harmonico,298
246,208,43,harmonico,298
86,67,125,harmonico,299
76,65,125,harmonico,299
98,53,117,harmonico,299
83,134,147,harmonico,300
77,137,140,harmonico,300
91,131,145,harmonico,300
189,204,46,harmonico,301
184,207,37,harmonico,301
204,220,62,harmonico,301
56,121,34,harmonico,302
60,116,32,harmonico,302
76,129,26,harmonico,302
183,211,116,harmonico,303
184,217,110,harmonico,303
175,227,103,harmonico,303
93,134,23,harmonico,304
84,131,21,harmonico,304
89,141,32,harmonico,304
48,145,203,harmonico,305
44,141,213,harmonico,305
65,140,197,harmonico,305
83,222,70,harmonico,306
90,230,60,harmonico,306
64,210,62,harmonico,306
77,102,102,harmonico,307
83,98,103,harmonico,307
58,86,85,harmonico,307
187,3,60,harmonico,308
188,1,60,harmonico,308
202,12,78,harmonico,308
75,153,187,harmonico,309
76,144,190,harmonico,309
95,171,185,harmonico,309
109,223,209,harmonico,310
105,229,209,harmonico,310
127,229,219,harmonico,310
196,48,166,harmonico,311
186,38,163,harmonico,311
209,38,177,harmonico,311
122,134,65,harmonico,312
113,144,65,harmonico,312
121,129,50,harmonico,312
115,216,93,harmonico,313
123,212,103,harmonico,313
129,234,73,harmonico,313
109,232,171,harmonico,314
116,238,181,harmonico,314
110,235,181,harmonico,314
199,167,88,harmonico,315
204,159,78,harmonico,315
188,154,105,harmonico,315
54,176,247,harmonico,316
51,180,237,harmonico,316
43,191,246,harmonico,316
145,210,158,harmonico,317
153,203,168,harmonico,317
156,199,164,harmonico,317
151,118,25,harmonico,318
157,109,32,harmonico,318
166,108,7,harmonico,318
40,175,0,harmonico,319
36,166,4,harmonico,319
21,173,12,harmonico,319
108,127,103,harmonico,320
117,134,95,harmonico,320
115,129,109,harmonico,320
53,62,178,harmonico,321
46,65,175,harmonico,321
51,70,191,harmonico,321
92,219,47,harmonico,322
100,212,50,harmonico,322
99,200,30,harmonico,322
78,135,135,harmonico,323
70,129,137,harmonico,323
84,144,155,harmonico,323
10,168,85,harmonico,324
15,176,92,harmonico,324
-1,187,79,harmonico,324
4,55,148,harmonico,325
13,53,144,harmonico,325
-2,67,150,harmonico,325
160,254,4,harmonico,326
165,255,5,harmonico,326
160,255,20,harmonico,326
122,175,139,harmonico,327
114,170,146,harmonico,327
136,169,132,harmonico,327
140,75,11,harmonico,328
130,85,11,harmonico,328
139,74,3,harmonico,328
9,26,48,harmonico,329
11,25,46,harmonico,329
1,28,42,harmonico,329
240,95,112,harmonico,330
235,93,121,harmonico,330
255,78,124,harmonico,330
4,205,201,harmonico,331
-3,202,198,harmonico,331
4,192,218,harmonico,331
22,32,94,harmonico,332
23,28,100,harmonico,332
34,50,79,harmonico,332
179,55,96,harmonico,333
176,50,98,harmonico,333
185,59,92,harmonico,333
185,44,22,harmonico,334
193,48,29,harmonico,334
187,28,10,harmonico,334
212,147,139,harmonico,335
202,146,133,harmonico,335
216,141,122,harmonico,335
54,178,70,harmonico,336
50,170,79,harmonico,336
58,196,89,harmonico,336
28,141,14,harmonico,337
37,148,5,harmonico,337
28,148,34,harmonico,337
46,122,245,harmonico,338
42,112,255,harmonico,338
51,119,255,harmonico,338
168,225,61,harmonico,339
172,223,65,harmonico,339
178,216,45,harmonico,339
44,222,143,harmonico,340
38,215,140,harmonico,340
27,228,135,harmonico,340
107,231,35,harmonico,341
111,228,43,harmonico,341
105,245,46,harmonico,341
9,234,104,harmonico,342
-1,234,107,harmonico,342
1,248,113,harmonico,342
198,44,152,harmonico,343
193,52,150,harmonico,343
189,60,141,harmonico,343
127,222,61,harmonico,344
129,220,57,harmonico,344
110,210,76,harmonico,344
101,149,147,harmonico,345
108,155,142,harmonico,345
119,146,160,harmonico,345
7,204,213,harmonico,346
16,200,220,harmonico,346
8,209,220,harmonico,346
72,201,123,harmonico,347
63,196,128,harmonico,347
54,217,140,harmonico,347
182,112,84,harmonico,348
190,103,85,harmonico,348
179,108,86,harmonico,348
254,152,228,harmonico,349
255,146,231,harmonico,349
255,143,222,harmonico,349
161,239,44,harmonico,350
164,243,50,harmonico,350
168,255,57,harmonico,350
56,125,66,harmonico,351
63,135,59,harmonico,351
76,131,56,harmonico,351
8,226,235,harmonico,352
8,217,227,harmonico,352
9,210,236,harmonico,352
22,69,40,harmonico,353
22,62,33,harmonico,353
9,52,55,harmonico,353
179,168,8,harmonico,354
188,161,12,harmonico,354
164,157,27,harmonico,354
175,153,230,harmonico,355
181,151,225,harmonico,355
167,163,231,harmonico,355
142,16,155,harmonico,356
150,15,149,harmonico,356
149,35,165,harmonico,356
47,73,39,harmonico,357
40,77,41,harmonico,357
33,63,30,harmonico,357
